Adams,73,6,2
Alcorn,7,0,0
Amite,16,1,0
Attala,34,0,1
Benton,5,0,0
Bolivar,79,5,4
Calhoun,36,2,1
Carroll,10,1,0
Chickasaw,40,2,1
Choctaw,11,1,0
Claiborne,8,0,0
Clarke,22,2,1
Clay,24,1,0
Coahoma,46,1,0
Copiah,41,1,0
Covington,28,0,1
Desoto,220,3,1
Forrest,137,3,2
Franklin,15,0,0
George,10,1,0
Greene,3,0,0
Grenada,19,0,1
Hancock,50,5,2
Harrison,144,5,3
Hinds,325,5,5
Holmes,58,4,0
Humphreys,12,3,1
Issaquena,0,0,0
Itawamba,21,1,1
Jackson,201,6,2
Jasper,22,1,0
Jefferson,4,0,1
Jefferson Davis,8,1,0
Jones,63,0,2
Kemper,17,0,0
Lafayette,40,3,1
Lamar,59,1,0
Lauderdale,190,14,7
Lawrence,14,0,0
Leake,64,1,0
Lee,54,4,0
Leflore,75,6,1
Lincoln,102,6,2
Lowndes,32,1,2
Madison,127,3,2
Marion,39,0,1
Marshall,39,2,0
Monroe,62,4,2
Montgomery,15,1,0
Neshoba,55,1,0
Newton,21,0,1
Noxubee,20,0,0
Oktibbeha,43,2,2
Panola,30,2,0
Pearl River,119,10,2
Perry,22,1,0
Pike,97,2,2
Pontotoc,17,2,1
Prentiss,16,0,2
Quitman,13,0,0
Rankin,130,2,1
Scott,106,0,1
Sharkey,3,0,0
Simpson,14,0,1
Smith,39,1,1
Stone,17,0,0
Sunflower,46,2,0
Tallahatchie,8,1,0
Tate,29,0,0
Tippah,46,7,1
Tishomingo,3,0,0
Tunica,30,1,1
Union,9,1,1
Walthall,23,0,0
Warren,18,1,0
Washington,70,3,1
Wayne,10,0,0
Webster,15,1,0
Wilkinson,55,4,1
Winston,29,0,0
Yalobusha,15,0,0
Yazoo,85,1,0
